Unnamed: 0,observation_date,CPIAUCSL,CPILFESL,UNRATE,DCOILWTICO,VIXCLS,DTWEXBGS,GOLD,MOVE,SP500,Open,High,Low,GS10,FEDFUNDS,Date,SMA_10,SMA_50,EMA_10,EMA_50,ROC_10,RSI_14,BB_upper,BB_lower,Volatility_20
130,2017-09-29,246.435,252.812,4.3,51.67,9.51,110.0867,1296.03,50.5,2519.36,2509.96,2519.44,2507.99,2.2,1.15,2017-09-29,2471.864,2353.2276,2476.76490967714,2363.5995581683037,0.018935992946524705,66.57533126124645,2519.0169100229605,2384.8710899770404,0.008189172032525489
131,2017-10-06,246.626,253.526,4.2,49.34,9.65,110.7841,1283.83,52.9,2549.33,2547.44,2549.41,2543.79,2.36,1.15,2017-10-06,2479.5870000000004,2361.391,2489.9585624631145,2370.8831049068017,0.03124064560495121,74.25269645608627,2532.1699194607363,2388.478080539263,0.008288162926328923
132,2017-10-13,246.626,253.526,4.2,51.43,9.61,110.2669,1271.67,55.0,2553.17,2555.66,2557.65,2552.09,2.36,1.15,2017-10-13,2487.221,2369.9262,2501.4515511061845,2378.031610596731,0.030821655099461776,74.4563763518936,2546.948029849819,2387.434970150181,0.007888882784708466
133,2017-10-20,246.626,253.526,4.2,51.63,9.97,111.0375,1299.57,50.9,2575.21,2567.56,2575.44,2567.56,2.36,1.15,2017-10-20,2500.6099999999997,2379.7268,2514.8621781777874,2385.7640964556826,0.05484328150344897,73.22329941511094,2565.954687342273,2382.0423126577275,0.007846726838629603
134,2017-10-27,246.626,253.526,4.2,53.92,9.8,112.1495,1282.44,54.0,2581.07,2570.26,2582.98,2565.94,2.36,1.15,2017-10-27,2516.162,2388.0592,2526.8999639636445,2393.4231514966364,0.06411741666838444,72.40411213409851,2582.7523025764417,2380.174697423559,0.007731419144647819
135,2017-11-03,247.284,253.816,4.2,55.63,9.14,111.9383,1269.69,54.7,2587.84,2581.93,2588.42,2576.77,2.35,1.16,2017-11-03,2530.641,2396.178,2537.979970515709,2401.0473416340233,0.059266081332760345,73.28397843405489,2598.2779493563316,2380.118050643668,0.007710848154988287
136,2017-11-10,247.284,253.816,4.2,56.75,11.29,111.5626,1267.8,45.8,2582.3,2580.18,2583.81,2575.57,2.35,1.16,2017-11-10,2541.2160000000003,2403.5570000000002,2546.0381576946706,2408.1552890209246,0.04270053098059812,71.14898736715462,2610.2382795425106,2382.5577204574897,0.007798126596566386
137,2017-11-17,247.284,253.816,4.2,56.21,11.43,111.0016,1276.33,47.3,2578.85,2582.94,2583.96,2577.62,2.35,1.16,2017-11-17,2552.958,2411.295,2552.0039472047306,2414.849199255398,0.04770397695648465,81.64664733765916,2618.2532091524754,2390.0867908475248,0.007577916111129774
138,2017-11-24,247.284,253.816,4.2,58.94,9.67,110.0253,1287.7,49.1,2602.42,2600.42,2604.21,2600.42,2.35,1.16,2017-11-24,2563.1769999999997,2418.1528,2561.1705022584156,2422.204916931657,0.04087223975394272,89.2887289528631,2628.803180778934,2397.2608192210664,0.007669894691553017
139,2017-12-01,247.805,254.344,4.1,58.35,11.43,110.1413,1288.83,46.2,2642.22,2645.1,2650.62,2605.52,2.4,1.3,2017-12-01,2577.177,2425.8358000000003,2575.906774575067,2430.832959404925,0.055950316119286025,90.25425441610392,2648.49551264915,2395.8634873508495,0.007763386395702074
140,2017-12-08,247.805,254.344,4.1,57.15,9.58,111.2273,1282.96,50.2,2651.5,2646.21,2651.65,2644.1,2.4,1.3,2017-12-08,2590.391,2433.59,2589.6509973796,2439.486568840026,0.05244982852788005,89.19657660079739,2667.5850269760613,2394.669973023939,0.007752160824798459
141,2017-12-15,247.805,254.344,4.1,57.29,9.42,111.1286,1248.06,47.5,2675.81,2660.63,2679.63,2659.14,2.4,1.3,2017-12-15,2603.039,2442.3296,2605.316270583309,2448.7541543757116,0.049613035581898,96.13100361507996,2689.155028793899,2393.4709712061003,0.007798533645106954
142,2017-12-22,247.805,254.344,4.1,58.25,9.9,111.0997,1254.69,46.4,2683.34,2684.22,2685.35,2678.13,2.4,1.3,2017-12-22,2616.056,2450.4568,2619.5024032045253,2457.953599302154,0.050983679112632574,95.52936496096265,2709.0540101399893,2394.222989860011,0.007788468204780224
143,2017-12-29,247.805,254.344,4.1,60.46,11.04,110.0783,1274.29,50.4,2673.61,2689.15,2692.12,2673.61,2.4,1.3,2017-12-29,2625.896,2458.4362,2629.3401480764296,2466.410713055011,0.03821047603884731,91.03577072259725,2720.6744902871023,2405.831509712898,0.006758416706864377
144,2018-01-05,248.859,255.204,4.0,61.49,9.22,109.3496,1303.46,46.6,2743.15,2731.33,2743.45,2727.92,2.58,1.41,2018-01-05,2642.1040000000003,2467.873,2650.03284842617,2477.2632341116773,0.06279566226409972,92.83390115989732,2742.0469734370704,2416.21902656293,0.007789081093163107
145,2018-01-12,248.859,255.204,4.0,64.22,10.16,108.9011,1319.36,46.1,2786.24,2770.18,2787.85,2769.64,2.58,1.41,2018-01-12,2661.9440000000004,2477.7039999999997,2674.797785075957,2489.3799700288664,0.07666625448250253,93.17659923455432,2770.7422097039466,2421.8427902960534,0.00807366192577926
146,2018-01-19,248.859,255.204,4.0,63.38,11.27,107.9454,1331.02,47.6,2810.3,2802.6,2810.33,2798.08,2.58,1.41,2018-01-19,2684.7439999999997,2487.9616,2699.434551425783,2501.9650692434207,0.08829338186887647,93.64497402994188,2802.4095155126847,2423.550484487316,0.007917382674531471
147,2018-01-26,248.859,255.204,4.0,66.27,11.08,106.6909,1333.45,52.0,2872.87,2847.48,2872.87,2846.18,2.58,1.41,2018-01-26,2714.1459999999997,2499.097,2730.968269348368,2516.5103606456396,0.11401205963898642,94.41360787824523,2842.0847627016965,2425.019237298304,0.00810371118481599
148,2018-02-02,249.529,255.711,4.1,65.5,17.31,107.1154,1352.59,55.6,2762.13,2808.92,2808.92,2759.97,2.86,1.42,2018-02-02,2730.117,2507.3164,2736.634038557755,2526.1425033654186,0.06136980195356623,70.57593526978498,2852.807924992313,2440.486075007687,0.012944620298504681
